Sl. No.,State/UT,2023-24 - UREA - DEMAND,2023-24 - UREA - SUPPLY,2023-24 - UREA - CONSUMPTION,2023-24 - DAP - DEMAND,2023-24 - DAP - SUPPLY,2023-24 - DAP - CONSUMPTION,2023-24 - MOP - DEMAND,2023-24 - MOP - SUPPLY,2023-24 - MOP - CONSUMPTION,2023-24 - NPKS - DEMAND,2023-24 - NPKS - SUPPLY,2023-24 - NPKS - CONSUMPTION,2022-23 - UREA - DEMAND,2022-23 - UREA - SUPPLY,2022-23 - UREA - CONSUMPTION,2022-23 - DAP - DEMAND,2022-23 - DAP - SUPPLY,2022-23 - DAP - CONSUMPTION,2022-23 - MOP - DEMAND,2022-23 - MOP - SUPPLY,2022-23 - MOP - CONSUMPTION,2022-23 - NPKS - DEMAND,2022-23 - NPKS - SUPPLY,2022-23 - NPKS - CONSUMPTION,2021-22 - UREA - DEMAND,2021-22 - UREA - SUPPLY,2021-22 - UREA - CONSUMPTION,2021-22 - DAP - DEMAND,2021-22 - DAP - SUPPLY,2021-22 - DAP - CONSUMPTION,2021-22 - MOP - DEMAND,2021-22 - MOP - SUPPLY,2021-22 - MOP - CONSUMPTION,2021-22 - NPKS - DEMAND,2021-22 - NPKS - SUPPLY,2021-22 - NPKS - CONSUMPTION,2020-21 - UREA - DEMAND,2020-21 - UREA - SUPPLY,2020-21 - UREA - CONSUMPTION,2020-21 - DAP - DEMAND,2020-21 - DAP - SUPPLY,2020-21 - DAP - CONSUMPTION,2020-21 - MOP - DEMAND,2020-21 - MOP - SUPPLY,2020-21 - MOP - CONSUMPTION,2020-21 - NPKS - DEMAND,2020-21 - NPKS - SUPPLY,2020-21 - NPKS - CONSUMPTION,2019-20 - UREA - DEMAND,2019-20 - UREA - SUPPLY,2019-20 - UREA - CONSUMPTION,2019-20 - DAP - DEMAND,2019-20 - DAP - SUPPLY,2019-20 - DAP - CONSUMPTION,2019-20 - MOP - DEMAND,2019-20 - MOP - SUPPLY,2019-20 - MOP - CONSUMPTION,2019-20 - NPKS - DEMAND,2019-20 - NPKS - SUPPLY,2019-20 - NPKS - CONSUMPTION
1,Andaman and Nicobar Islands,0,0.01,0,0,0,0,0,0.01,0,0,0,0,0,0.01,0,0,0.01,0,0,0.01,0,0.01,0,0,0,0.01,0,0,0.02,0,0,0.01,0,0,0,0,0.01,0.01,0,0.02,0,0,0.01,0,0,0.01,0,0,0.01,0.01,0,0.01,0,0,0,0,0,0.01,0,0
2,Andhra Pradesh,15.73,17.89,14.99,4.13,4.86,4.2,1.84,1.81,1.31,13.28,17.87,14.02,16.65,18.39,15.87,4.2,5.43,4.64,3.09,1.42,1.18,15.97,16.27,13.73,17,17.08,14.83,4.45,3.79,3.6,3,1.97,1.78,17,15.93,13.99,17.5,18.84,15.92,4,4.66,4.21,2.8,3.6,2.94,13.5,19.78,17.27,17.5,17.52,14.26,3,4.72,3.52,2.7,3.18,2.42,12,17.83,13.52
3,Arunachal Pradesh,0.01,0.01,0.01,0,0,0,0,0,0,0,0,0,0.01,0.01,0.01,0.01,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Assam,3.46,4.56,3.73,0.75,0.87,0.72,0.66,0.69,0.44,0.3,0.39,0.23,3.85,4.07,3.56,0.85,0.83,0.63,0.75,0.58,0.47,0.26,0.22,0.19,3.85,4,3.6,0.89,0.68,0.52,0.85,0.62,0.55,0.17,0.25,0.19,4.15,4.11,3.46,0.83,0.92,0.79,0.82,0.99,0.8,0.2,0.17,0.14,3.1,4.26,3.63,0.63,0.93,0.65,0.71,1.06,0.71,0.16,0.24,0.18
5,Bihar,22.63,27.46,23.24,6.82,7.78,6.51,2.28,1.75,1.39,4.5,6.09,4.39,22.8,24.68,21.96,6.82,7.15,5.66,2.16,1.55,1.26,3.72,5.35,4.25,22,22.79,21.53,7.5,5.82,5.52,2.5,1.52,1.38,4,4.44,3.96,22,26.21,23.3,7,8.93,8.12,2.5,3.44,2.61,3.5,4.58,3.63,21,26.21,22.65,6,9.49,7.44,2.3,3.2,2.46,3.5,4.97,3.31
6,Chandigarh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Chhattisgarh,8.4,11.37,8.99,3.1,5.28,4.34,0.66,0.97,0.6,1.07,1.9,1.3,8.74,10.57,8.38,3.7,4.68,3.14,1.01,0.77,0.56,1.45,1.63,1.06,7,9.66,8,3.8,3.69,3.53,1.01,1.09,0.83,1.3,1.46,1.31,6.5,11.08,9.17,3.35,5.42,4.51,1.01,1.52,1.12,1.6,1.72,1.19,6,10.71,7.96,3.1,5.27,3.56,0.96,1.32,0.92,1.2,1.6,0.94
8,Dadra and Nagar Haveli,0.01,0,0,0.01,0,0,0,0,0,0,0,0,0.01,0.01,0.01,0.01,0,0,0,0,0,0,0,0,0.02,0.01,0,0.01,0,0,0,0,0,0,0,0,0,0.01,0.01,0,0.01,0.01,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0
9,Daman and Diu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Delhi,0,0.37,0.32,0,0.05,0.04,0,0,0,0,0,0,0.2,0.32,0.28,0.04,0.06,0.05,0.01,0,0,0.01,0,0,0.2,0.3,0.26,0.04,0.05,0.03,0.01,0,0,0.02,0,0,0.23,0.24,0.22,0.05,0.04,0.04,0.02,0.01,0,0.02,0,0,0.16,0.28,0.25,0.04,0.05,0.04,0.01,0.01,0,0.02,0,0
11,Goa,0.03,0.02,0.02,0.01,0.01,0.01,0.01,0,0,0.04,0.03,0.02,0.03,0.02,0.02,0.01,0,0,0.01,0,0,0.04,0.03,0.03,0.02,0.02,0.02,0.01,0,0,0.01,0.01,0,0.02,0.03,0.03,0.02,0.03,0.02,0.02,0,0,0.01,0.01,0.01,0.03,0.04,0.03,0.02,0.02,0.02,0.02,0,0,0.01,0.01,0,0.03,0.04,0.03
12,Gujarat,24.71,26.78,24.3,5.86,6.71,6.29,1.3,1,0.8,6,8.93,6.97,24,27.3,24.73,5.5,7.48,6.1,1.15,0.91,0.81,5.85,7.08,5.23,24,24.93,21.9,5,5.43,5,1.2,1.22,1.09,5.95,7.35,6.69,24,26.22,23.82,5,7.02,6.55,1.3,1.7,1.51,5.35,9.48,7.79,22,25.68,23.63,5,6.98,5.18,1.4,1.72,1.25,5.46,9.03,6.64
13,Haryana,20.63,24.86,21.77,5.6,6.29,5.83,0.55,0.5,0.36,1.2,0.64,0.44,21.5,23.68,20.46,5.7,6.48,5.59,0.6,0.43,0.35,0.7,0.3,0.26,20.5,23.26,20.75,6,5.33,4.96,0.56,0.67,0.57,0.7,0.63,0.54,21,23.64,21.52,6.3,6.86,6.32,0.7,0.98,0.6,0.4,0.35,0.23,21,23.61,20.88,6.3,7.44,5.89,0.95,1.06,0.58,0.4,0.4,0.23
14,Himachal Pradesh,0.68,0.82,0.68,0.01,0.01,0.01,0.05,0.05,0.03,0.37,0.39,0.32,0.76,0.85,0.74,0.02,0.02,0.02,0.07,0.07,0.04,0.39,0.41,0.35,0.79,0.9,0.74,0.02,0.01,0,0.08,0.1,0.04,0.38,0.34,0.19,0.7,0.88,0.72,0.02,0.02,0.02,0.09,0.12,0.08,0.41,0.45,0.34,0.69,0.85,0.74,0.01,0.02,0.01,0.09,0.12,0.07,0.4,0.47,0.32
15,Jammu and kashmir,1.4,2.01,1.45,0.55,0.59,0.44,0.32,0.24,0.16,0.03,0,0,1.68,1.93,1.6,0.59,0.6,0.48,0.4,0.23,0.17,0.04,0,0,1.43,2.11,1.67,0.8,0.57,0.44,0.4,0.25,0.19,0.03,0.02,0,1.43,2.58,2.16,0.79,0.93,0.8,0.26,0.6,0.48,0,0.04,0.02,1.38,2.12,0.96,0.68,0.94,0.35,0.26,0.54,0.16,0.02,0.02,0.01
16,Jharkhand,2.47,3.74,3.04,1.02,1.06,0.94,0.21,0.03,0.03,0.41,0.46,0.33,2.6,3.04,2.56,1,0.89,0.77,0.2,0.05,0.04,0.46,0.52,0.45,2.6,3.01,2.57,1,0.97,0.91,0.2,0.05,0.01,0.46,0.49,0.45,2.6,3.07,2.58,1,1.27,1.08,0.11,0.07,0.05,0.38,0.44,0.36,2.6,2.97,2.41,1,1.14,0.79,0.13,0.06,0.03,0.45,0.51,0.38
17,Karnataka,16.1,21.02,15.65,5.9,8.13,6.42,2.45,1.97,1.54,16.5,21.09,15.84,17.2,22.22,18.21,5.9,8.44,6.21,3,1.68,1.41,17.16,21.53,16.67,16.5,21.04,17.84,6.54,6.37,5.73,3.17,2.74,2.54,17.2,20.82,18.72,16.5,20.62,16.43,6.5,7.97,6.82,3.15,4.57,3.35,14.15,23.28,18.24,17.91,17.74,14.63,6.49,7.91,5.54,4.8,3.63,2.59,14.21,20.28,14.7
18,Kerala,1.19,1.13,0.96,0.2,0.18,0.16,0.97,0.87,0.7,1.42,1.56,1.26,1.23,1.32,1.12,0.2,0.22,0.19,1.07,0.86,0.78,1.42,1.32,1.02,1.22,1.29,1.15,0.2,0.14,0.14,1.1,0.86,0.77,1.45,1.43,1.26,1.13,1.51,1.27,0.19,0.22,0.21,0.85,1.28,1.09,1.25,1.72,1.44,1.17,1.34,1.14,0.33,0.2,0.17,1.25,1.07,0.89,1.2,1.64,1.32
19,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Madhya Pradesh,33.46,41.73,34.37,14.22,17.81,15.5,0.87,1.05,0.67,5.4,6.99,5.41,33,36.94,32.39,18.5,17.61,13.85,1.57,0.76,0.62,4.85,6.25,4.79,35,33.01,29.18,19.5,12.54,12.03,1.8,1.31,1.18,4.35,5.31,4.96,31,34.73,30.18,13.55,18.04,16.07,1.5,2.03,1.5,3.75,4.85,3.98,28.5,34.25,29.99,13,18.62,13.46,1.5,1.71,1.13,3.75,5.35,3.74
21,Maharashtra,23.74,31.06,23.48,7,8.93,7.36,3,2.18,1.42,26.5,34.08,23.04,25.29,30.39,24.66,8.2,9.34,7.18,4.3,1.68,1.38,23.5,28.89,20.46,25.5,28.29,23.68,8.5,6.42,5.87,4.5,3.63,3.26,21.5,28.97,25.75,25,29.76,24.62,7,9.44,8.17,4.5,5.43,4.09,21,35.89,26.89,26,28.2,24.19,7.5,8.55,6.07,4.75,4.62,3.24,21,30.54,21.9
22,Manipur,0.3,0.26,0.25,0.04,0.01,0.01,0.05,0.02,0.02,0,0.01,0,0.22,0.35,0.31,0.12,0.04,0.04,0.12,0.05,0.04,0,0.03,0.03,0.27,0.24,0.14,0.14,0.03,0.01,0.14,0,0,0,0.02,0.01,0.27,0.24,0.22,0.16,0.06,0.04,0.14,0.03,0.03,0,0,0,0.27,0.29,0.26,0.12,0.07,0.05,0.12,0.02,0.01,0,0,0
23,Meghalaya,0.02,0.05,0.04,0,0,0,0,0,0,0.01,0,0,0.02,0.01,0,0.01,0,0,0.01,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
